Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Arab World,ARB,"School enrollment, secondary (% net)",SE.SEC.NENR,51.92024,53.24759,54.05277,55.7292,57.48235,57.5619,57.46168,57.23471,58.28565,60.34947,60.67437,62.26881,62.45941,61.08331,61.53884,62.06563,62.55911,63.06303
Argentina,ARG,"School enrollment, secondary (% net)",SE.SEC.NENR,78.48781,78.94955,78.81052,78.51365,78.53653,77.93493,77.80917,77.68491,78.65304,80.56529,82.09918,83.52317,85.89363,87.09754,87.6325,88.44048,89.88468,90.79605
Belgium,BEL,"School enrollment, secondary (% net)",SE.SEC.NENR,93.23441,94.11793,94.64411,96.34794,97.69044,97.54728,97.9871,96.35917,94.63375,93.46701,92.69016,92.56495,93.15346,93.63938,93.83306,93.65346,94.11758,94.94691
Bulgaria,BGR,"School enrollment, secondary (% net)",SE.SEC.NENR,86.44825,87.27445,87.63113,84.91763,85.78885,85.89795,85.10716,84.9176,84.19548,83.43903,83.95626,85.72393,86.73715,90.03958,91.02326,91.22931,90.10467,89.05757
Bolivia,BOL,"School enrollment, secondary (% net)",SE.SEC.NENR,62.3867,65.13454,69.4617,72.04412,74.14804,74.68435,74.05262,73.1655,72.09962,72.78282,72.78318,72.385,73.56987,75.20722,75.86576,76.68761,76.9402,76.1901
Central Europe and the Baltics,CEB,"School enrollment, secondary (% net)",SE.SEC.NENR,83.96686,85.36463,86.47308,86.86822,86.43209,87.42453,87.61808,88.0053,88.58306,88.54583,88.71338,88.62826,88.56838,89.68087,89.51156,89.81324,89.62629,89.76877
Switzerland,CHE,"School enrollment, secondary (% net)",SE.SEC.NENR,84.66111,84.14402,83.37213,83.3568,83.98112,84.72205,85.22291,84.85637,84.53242,83.63971,83.68751,83.20701,81.17079,83.55855,84.47933,85.13441,85.82816,85.32946
Caribbean small states,CSS,"School enrollment, secondary (% net)",SE.SEC.NENR,73.15722,74.00953,74.25208,73.79626,75.81996,75.16683,75.11725,75.36628,75.40196,75.13246,74.6868,74.97573,73.82884,73.13051,73.56486,72.70735,73.75093,73.90341
Cuba,CUB,"School enrollment, secondary (% net)",SE.SEC.NENR,80.49006,82.25167,82.60463,85.11799,85.1098,86.64633,88.66745,88.32925,87.50112,85.67697,88.24106,87.90295,86.64642,87.24085,85.14799,83.56161,84.18424,84.18099
Cyprus,CYP,"School enrollment, secondary (% net)",SE.SEC.NENR,88.0464,88.30934,91.67274,92.80423,93.00759,94.10166,94.05908,95.09996,95.80445,95.52999,88.83383,89.68342,91.83179,93.17237,94.71498,94.63238,94.09316,95.337
East Asia & Pacific (excluding high income),EAP,"School enrollment, secondary (% net)",SE.SEC.NENR,63.01623,63.72722,63.59607,64.86047,66.26525,67.06287,68.14741,70.20499,70.16523,72.04053,74.03742,75.58281,74.77548,76.30379,78.85949,78.55537,78.6135,78.30426
Early-demographic dividend,EAR,"School enrollment, secondary (% net)",SE.SEC.NENR,44.71883,45.48601,46.83975,48.40217,49.63541,50.70762,52.05767,53.93973,55.10672,55.18157,56.88916,58.92174,60.30106,61.58025,62.1179,62.53617,62.77726,63.76386
East Asia & Pacific,EAS,"School enrollment, secondary (% net)",SE.SEC.NENR,63.76998,64.41759,64.31124,65.56578,66.95903,67.772,68.8405,70.8343,70.83102,72.67283,74.56665,76.05022,75.38456,76.80045,79.21913,78.92814,79.01017,78.7363
Europe & Central Asia (excluding high income),ECA,"School enrollment, secondary (% net)",SE.SEC.NENR,81.64213,83.45605,83.40459,83.68168,81.99364,80.63589,81.34277,82.16796,82.26676,82.06513,84.09228,85.73788,86.24599,88.22682,88.81447,89.01455,88.20588,88.63549
Europe & Central Asia,ECS,"School enrollment, secondary (% net)",SE.SEC.NENR,84.63935,85.8942,86.27247,86.65042,85.97591,85.80879,86.20452,86.4081,86.72783,86.6353,87.83752,88.24032,88.28786,89.4201,89.92729,90.22944,89.93778,90.20232
Euro area,EMU,"School enrollment, secondary (% net)",SE.SEC.NENR,86.81765,87.22753,88.03141,88.46882,89.46641,90.67789,91.22277,90.72391,91.25926,91.16182,91.3596,90.81806,90.61763,90.02466,89.83049,90.03888,90.38816,90.58376
Spain,ESP,"School enrollment, secondary (% net)",SE.SEC.NENR,88.76119,90.33215,90.92089,91.28496,92.41558,93.27141,92.8639,92.07332,91.50683,91.07021,90.86856,89.39714,89.80611,90.5337,91.42704,92.77119,94.94198,96.87779
Estonia,EST,"School enrollment, secondary (% net)",SE.SEC.NENR,85.07887,85.7722,88.4054,89.4797,91.47287,93.41205,93.78821,92.89928,91.89447,91.23404,90.93238,91.33162,91.28602,92.09885,92.68432,93.82438,94.2014,94.36474
European Union,EUU,"School enrollment, secondary (% net)",SE.SEC.NENR,87.16646,87.80873,88.69977,89.06678,89.4852,90.59826,90.58935,90.2333,90.918,91.09391,91.46895,90.66274,90.25664,90.53868,90.84754,91.19895,91.32184,91.44627
Fragile and conflict affected situations,FCS,"School enrollment, secondary (% net)",SE.SEC.NENR,25.72943,26.42205,26.75585,28.39825,30.21112,30.85191,31.97246,32.37373,33.81246,34.84787,35.5295,35.93476,36.6002,35.62697,36.03712,36.51341,36.85874,37.63171
Finland,FIN,"School enrollment, secondary (% net)",SE.SEC.NENR,94.47773,94.18191,94.39933,94.95765,95.10188,95.79214,96.22216,95.81085,94.97304,94.24573,93.90982,93.49709,92.86466,94.476,94.61306,95.26385,95.93474,96.1047
France,FRA,"School enrollment, secondary (% net)",SE.SEC.NENR,89.91505,89.6317,89.28409,89.03434,88.89251,92.63271,92.66312,92.60787,92.59771,92.6832,92.55883,92.86607,93.22666,93.39347,92.95679,93.58103,93.95576,94.66595
United Kingdom,GBR,"School enrollment, secondary (% net)",SE.SEC.NENR,94.68536,94.95354,95.64137,95.47093,95.02938,95.55691,92.34619,91.17435,92.61934,94.46231,96.16818,92.958,90.8005,93.84317,97.18701,98.13521,,97.13247
High income,HIC,"School enrollment, secondary (% net)",SE.SEC.NENR,83.89104,84.70912,84.9358,86.18926,86.83769,87.43483,87.37573,87.21115,87.53733,87.8061,87.93087,88.15138,88.29552,88.67842,89.1936,89.87371,90.53649,90.745
"Hong Kong SAR, China",HKG,"School enrollment, secondary (% net)",SE.SEC.NENR,,72.8222,72.80981,73.28081,74.14769,75.10865,75.59361,76.89025,78.07838,78.97387,79.86728,78.43632,90.01135,88.72314,88.86817,89.30273,91.4471,93.73494
Heavily indebted poor countries (HIPC),HPC,"School enrollment, secondary (% net)",SE.SEC.NENR,17.42459,17.95761,18.72361,19.40317,20.51107,21.72503,23.21675,24.70388,26.41139,27.64159,28.896,29.74624,30.5583,30.81079,31.47466,32.43202,32.2428,32.53769
Hungary,HUN,"School enrollment, secondary (% net)",SE.SEC.NENR,85.0428,87.41386,88.99301,90.55161,89.71743,90.00626,90.084,90.00401,89.64615,89.1824,89.09243,88.39353,88.94628,89.67352,89.78721,89.1319,89.15815,89.27911
IBRD only,IBD,"School enrollment, secondary (% net)",SE.SEC.NENR,58.5507,59.18451,59.76992,60.73154,61.7581,62.74446,63.44455,64.90056,65.94445,66.50128,68.27682,69.97504,70.32132,71.99196,73.04477,73.0542,72.90287,73.48382
IDA & IBRD total,IBT,"School enrollment, secondary (% net)",SE.SEC.NENR,51.08576,51.76041,52.37108,53.23577,54.1322,54.82988,55.49902,56.57491,57.35668,57.85632,59.25592,60.37714,60.68411,61.91644,62.72301,62.75054,62.8315,63.24158
IDA total,IDA,"School enrollment, secondary (% net)",SE.SEC.NENR,27.27955,28.1445,28.9582,29.94547,30.85827,31.40992,32.80356,33.7018,34.68168,35.79291,36.99878,37.36552,38.07079,38.72726,39.38482,39.94132,40.96381,41.25943
IDA blend,IDB,"School enrollment, secondary (% net)",SE.SEC.NENR,29.5595,30.48757,30.97379,31.72914,33.52494,33.93582,35.89015,36.66764,37.95605,38.96587,40.42474,40.32432,40.34677,41.75226,42.30329,41.7424,43.48944,44.27608
IDA only,IDX,"School enrollment, secondary (% net)",SE.SEC.NENR,26.10125,26.92863,27.91417,29.03142,29.4728,30.08863,31.18289,32.14792,32.96999,34.1441,35.22685,35.85177,36.91835,37.18216,37.89062,39.03294,39.67625,39.71058
Iceland,ISL,"School enrollment, secondary (% net)",SE.SEC.NENR,82.06997,81.97875,85.12872,87.53701,89.68152,90.58223,90.6513,89.86835,88.94186,87.03614,87.88673,86.83565,87.162,87.4513,88.68837,89.73447,89.98944,91.2734
Israel,ISR,"School enrollment, secondary (% net)",SE.SEC.NENR,99.02572,99.53564,99.61155,99.65913,99.91164,99.77489,99.74114,99.38521,98.6916,98.56833,98.33685,98.45622,98.49454,98.61948,98.74113,98.99156,98.58078,98.63822
Italy,ITA,"School enrollment, secondary (% net)",SE.SEC.NENR,86.75838,88.25124,90.55396,91.21779,92.39098,92.36553,93.35992,92.96982,95.20962,95.03722,96.34992,94.32707,93.97184,95.33671,95.40623,95.55489,95.07944,94.66346
"Korea, Rep.",KOR,"School enrollment, secondary (% net)",SE.SEC.NENR,92.63574,92.98384,92.85815,93.75619,94.51301,95.19021,94.37853,94.14674,93.38299,94.64991,94.90295,95.63541,96.42506,97.76121,98.16688,97.70791,98.14563,98.00711
Latin America & Caribbean (excluding high income),LAC,"School enrollment, secondary (% net)",SE.SEC.NENR,65.21407,66.10622,67.08983,65.52677,66.70741,67.64578,68.15071,68.48382,70.86132,71.89542,72.28398,72.67364,72.45098,75.78636,76.09166,76.47914,77.24594,77.15013
Lao PDR,LAO,"School enrollment, secondary (% net)",SE.SEC.NENR,27.41947,28.96552,29.97322,33.31071,34.94459,35.19979,34.41882,35.52986,36.52896,38.11272,39.96589,40.66093,43.58459,47.07239,52.32234,55.82319,58.73341,60.13026
St. Lucia,LCA,"School enrollment, secondary (% net)",SE.SEC.NENR,62.29479,60.86982,60.42583,63.7075,62.68135,68.03964,68.6966,76.97758,79.70525,82.4496,82.5328,81.23662,80.93965,80.11243,,80.79577,78.60232,80.81903
Latin America & Caribbean,LCN,"School enrollment, secondary (% net)",SE.SEC.NENR,65.71705,66.64093,67.65336,66.228,67.37197,68.27903,68.75196,69.01169,71.26887,72.20532,72.63742,72.9849,72.76669,76.05959,76.36003,76.75564,77.49153,77.36148
Least developed countries: UN classification,LDC,"School enrollment, secondary (% net)",SE.SEC.NENR,24.04056,24.88436,25.84814,26.28803,26.58309,27.0964,28.23262,29.15138,30.01052,31.34445,32.48536,33.08418,34.27019,35.18394,36.12135,37.28353,37.99336,37.93698
Low income,LIC,"School enrollment, secondary (% net)",SE.SEC.NENR,20.88775,21.57816,22.60587,24.22189,25.37447,26.52101,27.89233,28.81502,30.42957,31.25516,32.39683,33.424,34.18809,33.00196,33.30497,33.99723,33.3952,33.51031
Lower middle income,LMC,"School enrollment, secondary (% net)",SE.SEC.NENR,41.15796,41.6674,42.80613,44.34872,45.50777,46.39556,47.49076,49.41777,50.65561,50.61451,52.42785,54.13049,55.38944,56.91442,57.27701,57.60987,58.26122,59.56994
Low & middle income,LMY,"School enrollment, secondary (% net)",SE.SEC.NENR,50.93565,51.61339,52.22729,53.10246,54.02102,54.71912,55.40113,56.49204,57.28407,57.79404,59.20003,60.32994,60.64235,61.86824,62.6777,62.70272,62.78626,63.20392
Lesotho,LSO,"School enrollment, secondary (% net)",SE.SEC.NENR,17.97381,20.04806,20.91766,21.89832,23.20564,25.0859,25.8478,27.23189,29.59115,32.39088,36.12128,38.96832,40.16248,40.63024,40.64296,41.85947,41.35206,
Late-demographic dividend,LTE,"School enrollment, secondary (% net)",SE.SEC.NENR,71.17507,71.42574,70.89586,70.92777,71.59837,72.55847,73.16285,74.26708,75.0558,77.00594,78.83115,79.65448,78.69464,80.76516,83.14235,82.80978,82.92815,82.44917
Lithuania,LTU,"School enrollment, secondary (% net)",SE.SEC.NENR,90.95167,92.71941,94.48267,96.39001,97.50945,98.60829,99.64591,99.30088,98.24224,97.24047,96.98128,97.30754,97.04006,97.46028,97.59719,97.50248,97.52441,98.42562
Luxembourg,LUX,"School enrollment, secondary (% net)",SE.SEC.NENR,83.93834,80.66896,79.99208,80.10576,79.72127,82.97076,83.49789,84.14165,84.99195,,86.77192,86.47169,85.92268,85.70984,84.97239,84.43463,84.63978,83.58238
Moldova,MDA,"School enrollment, secondary (% net)",SE.SEC.NENR,78.24249,78.03685,78.91573,80.06647,81.07953,81.78983,81.34888,80.55401,83.49852,79.55915,78.62414,77.74841,77.909,77.19155,76.86421,76.40056,76.59364,77.85475
Middle East & North Africa,MEA,"School enrollment, secondary (% net)",SE.SEC.NENR,61.34339,62.26609,63.06525,64.17527,65.49245,65.51785,65.81262,65.44071,66.89581,68.7705,68.84673,71.20198,71.53439,69.52544,70.20788,70.95123,71.86762,72.42314
Mexico,MEX,"School enrollment, secondary (% net)",SE.SEC.NENR,56.09204,,60.41548,63.26205,65.15369,66.67768,67.83849,68.93457,69.60395,69.68225,70.08479,70.65515,71.82661,75.56968,77.66257,80.02575,81.22278,81.15596
Middle income,MIC,"School enrollment, secondary (% net)",SE.SEC.NENR,53.98122,54.6834,55.28579,56.18066,57.14436,57.8885,58.61426,59.8615,60.69278,61.29083,62.86385,64.12658,64.47047,66.15774,67.10091,67.12962,67.42127,67.9526
Middle East & North Africa (excluding high income),MNA,"School enrollment, secondary (% net)",SE.SEC.NENR,60.76744,61.63395,62.36273,63.43127,64.71712,64.59102,64.80938,64.23128,65.65144,67.52974,67.34881,69.73419,69.84611,67.29459,67.82328,68.61788,69.63247,70.16223
Malaysia,MYS,"School enrollment, secondary (% net)",SE.SEC.NENR,75.30455,75.24777,74.68553,80.32219,80.88979,76.92736,78.44768,74.47215,74.09303,74.00103,74.33845,74.16752,75.75679,76.2547,74.65151,,73.40114,74.39817
North America,NAC,"School enrollment, secondary (% net)",SE.SEC.NENR,86.91654,87.99579,86.61102,88.93807,89.40924,89.02733,88.70541,88.66419,88.86847,88.9192,88.16823,89.47648,89.55233,89.64119,89.96159,91.36782,92.79179,93.07327
